role,path,partner,valid,error,shape,canonical_shape,dtype,values,min,max,mean,std,p0,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,p100,outside_0_1,nan_count,inf_count,sha256_canonical
train_noisy,train (1)/train/NoisyLR/000000.npy,train (1)/train/GT/000000.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.0026427102275192738,1.3257757425308228,0.2184414509457877,0.2448654094779576,-0.0026427102275192738,0.00292795536480844,0.010246542925015093,0.01724586999043822,0.03543066140264273,0.08824571222066879,0.3629419580101967,0.7340695828199383,0.9459295123815536,1.122048240065584,1.3257757425308228,93,0,0,1e56df95e317e93ddb6443a01d35c33605f0b982b78d375593b48fdf915aeb7e
train_noisy,train (1)/train/NoisyLR/000001.npy,train (1)/train/GT/000001.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.0031231592874974012,1.4091064929962158,0.32675413070052883,0.17107371334126525,-0.0031231592874974012,0.014365562218241394,0.030807139817625284,0.06886237896978856,0.22152211889624596,0.3076414167881012,0.40975673496723175,0.6393657982349394,0.8642458230257034,1.1337602864503908,1.4091064929962158,58,0,0,a0331378b64911b556924168577c1ed1ba0467f63863abb03a3fc57e630cde35
train_noisy,train (1)/train/NoisyLR/000002.npy,train (1)/train/GT/000002.npy,True,,"(128, 128)","(128, 128)",float32,16384,0.0002783304953482002,1.3459364175796509,0.3046870141934104,0.16135875338685912,0.0002783304953482002,0.010372546665370463,0.024937289487570524,0.06120977140963078,0.2088768109679222,0.28580473363399506,0.3816836550831795,0.6013380587100983,0.825088574886322,1.0902664337158543,1.3459364175796509,35,0,0,6b12efd536fa1a71307bbb44885519fd5c375fd2a8e87bb86cabbb357e589326
train_noisy,train (1)/train/NoisyLR/000003.npy,train (1)/train/GT/000003.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.0010054984595626593,1.3146018981933594,0.2989099983245467,0.15143396910783538,-0.0010054984595626593,0.00944433136563748,0.027064053043723106,0.07031087912619115,0.2109600231051445,0.28253312408924103,0.3664083480834961,0.5744868785142897,0.8061161541938782,1.0737829524278855,1.3146018981933594,33,0,0,1494d57a09c8bae53f43740f5e70c0a41d11742709bc279ba59a23726facb997
train_noisy,train (1)/train/NoisyLR/000004.npy,train (1)/train/GT/000004.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.04995102062821388,1.3318248987197876,0.3562584763436366,0.19592375024350514,-0.04995102062821388,0.022277099588885903,0.053233534432947635,0.07948533296585084,0.16556141898036003,0.3690952956676483,0.5042820423841476,0.6718709528446197,0.7981819236278535,0.9623970358967966,1.3318248987197876,13,0,0,5780df6cdf458d3d1050060f110a46cd0fad3d587aa9629aef27976b9a2d790d
train_noisy,train (1)/train/NoisyLR/000005.npy,train (1)/train/GT/000005.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.006049090996384621,0.9321689605712891,0.26851267808604007,0.0699517048325249,-0.006049090996384621,0.01666981632076204,0.10710899442434312,0.16581590622663497,0.22436422482132912,0.26377592980861664,0.3080846667289734,0.3832831442356109,0.46487554222345356,0.6324638705253673,0.9321689605712891,5,0,0,e32a68c5febbd55b17555cbe09ba35af667fe0813a79a866bddebcbaab3774c0
train_noisy,train (1)/train/NoisyLR/000006.npy,train (1)/train/GT/000006.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.011915026232600212,0.843887448310852,0.2683484501886708,0.06822785082728035,-0.011915026232600212,0.020530103886499996,0.10735335379838944,0.16938112005591394,0.22533277049660683,0.2641797959804535,0.3062847703695297,0.38088082671165463,0.459278205037117,0.6295298351049878,0.843887448310852,2,0,0,bace83fe878a56c18dcdf2ebf9d12161655a68c6957a756c6d5cb40a88ab6c42
train_noisy,train (1)/train/NoisyLR/000007.npy,train (1)/train/GT/000007.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.016929149627685547,1.1249449253082275,0.2683284582561356,0.07084177268164209,-0.016929149627685547,0.024781876670196653,0.10759502917528152,0.1662703201174736,0.22445837035775185,0.2640298008918762,0.3059847950935364,0.3844320937991142,0.4721117395162583,0.6599278017282751,1.1249449253082275,6,0,0,793a63630cd2e4073c87c4bc037ba2f45e9741ccd60baba61bf8399916b7d933
train_noisy,train (1)/train/NoisyLR/000008.npy,train (1)/train/GT/000008.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.04200931265950203,1.5704659223556519,0.5252892134310656,0.24984639756027405,-0.04200931265950203,0.009130928580649197,0.08757919162511826,0.1679074175655842,0.32183390110731125,0.5035372078418732,0.706795871257782,0.956849247217178,1.1301477861404419,1.3156113255024071,1.5704659223556519,581,0,0,bc8017c52a3a00d45b6f3655aaafa98521ebb74bfc4d4be44945a3c6b965d48f
train_noisy,train (1)/train/NoisyLR/000009.npy,train (1)/train/GT/000009.npy,True,,"(128, 128)","(128, 128)",float32,16384,-0.0018216996686533093,1.4595404863357544,0.5277301317651606,0.23728093098661812,-0.0018216996686533093,0.024960364647209646,0.07645966313779354,0.14905288442969322,0.34867291897535324,0.5319380760192871,0.6960605680942535,0.9179206520318983,1.0682291495800018,1.2469415223598517,1.4595404863357544,352,0,0,fc2ae2ba511af064a5019b94c4f71bf3250d45fc633ecb76cdc981a55cf80c26
